GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
catalytic activity,264,"['YAL012W', 'YAL015C', 'YAL021C', 'YAL038W', 'YBL019W', 'YBL080C', 'YBR019C', 'YBR084W', 'YBR117C', 'YBR126C', 'YBR176W', 'YBR208C', 'YBR213W', 'YBR218C', 'YBR221C', 'YBR229C', 'YBR248C', 'YBR249C', 'YBR263W', 'YBR299W', 'YCL004W', 'YCL017C', 'YCL030C', 'YCL047C', 'YCR026C', 'YDL021W', 'YDL045C', 'YDL078C', 'YDL080C', 'YDL090C', 'YDL125C', 'YDL131W', 'YDL141W', 'YDL171C', 'YDL174C', 'YDL178W', 'YDL182W', 'YDL200C', 'YDR007W', 'YDR035W', 'YDR036C', 'YDR050C', 'YDR051C', 'YDR062W', 'YDR074W', 'YDR111C', 'YDR127W', 'YDR232W', 'YDR263C', 'YDR294C', 'YDR305C', 'YDR380W', 'YDR403W', 'YDR481C', 'YDR538W', 'YDR541C', 'YEL011W', 'YEL016C', 'YEL020C', 'YEL021W', 'YEL046C', 'YEL070W', 'YEL071W', 'YER019W', 'YER065C', 'YER069W', 'YER070W', 'YER086W', 'YER142C', 'YER152C', 'YFL030W', 'YFL059W', 'YFR015C', 'YFR025C', 'YFR030W', 'YFR047C', 'YFR053C', 'YFR055W', 'YGL026C', 'YGL039W', 'YGL040C', 'YGL062W', 'YGL155W', 'YGL156W', 'YGL157W', 'YGL184C', 'YGL202W', 'YGL234W', 'YGL253W', 'YGR007W', 'YGR010W', 'YGR019W', 'YGR043C', 'YGR087C', 'YGR202C', 'YGR204W', 'YGR240C', 'YGR244C', 'YGR258C', 'YGR267C', 'YGR277C', 'YGR286C', 'YGR287C', 'YGR292W', 'YHL022C', 'YHR018C', 'YHR029C', 'YHR062C', 'YHR079C', 'YHR111W', 'YHR112C', 'YHR123W', 'YHR128W', 'YHR137W', 'YHR144C', 'YHR164C', 'YHR179W', 'YHR190W', 'YHR208W', 'YHR210C', 'YHR216W', 'YIL002C', 'YIL020C', 'YIL066C', 'YIL107C', 'YIL116W', 'YIL164C', 'YIL165C', 'YIL172C', 'YIR031C', 'YJL035C', 'YJL050W', 'YJL060W', 'YJL062W', 'YJL087C', 'YJL101C', 'YJL121C', 'YJL130C', 'YJL155C', 'YJL216C', 'YJL221C', 'YJR016C', 'YJR130C', 'YJR137C', 'YJR148W', 'YJR149W', 'YKL060C', 'YKL085W', 'YKL088W', 'YKL106W', 'YKL113C', 'YKL152C', 'YKL165C', 'YKL182W', 'YKL184W', 'YKL211C', 'YKL215C', 'YKL216W', 'YKR009C', 'YKR031C', 'YKR072C', 'YLL031C', 'YLL056C', 'YLL058W', 'YLR017W', 'YLR027C', 'YLR028C', 'YLR044C', 'YLR058C', 'YLR089C', 'YLR134W', 'YLR146C', 'YLR209C', 'YLR231C', 'YLR245C', 'YLR258W', 'YLR284C', 'YLR290C', 'YLR303W', 'YLR307W', 'YLR308W', 'YLR316C', 'YLR328W', 'YLR345W', 'YLR354C', 'YLR359W', 'YLR377C', 'YLR401C', 'YLR405W', 'YLR432W', 'YLR438W', 'YML054C', 'YML056C', 'YML060W', 'YML080W', 'YML082W', 'YML100W', 'YML118W', 'YMR062C', 'YMR096W', 'YMR099C', 'YMR108W', 'YMR120C', 'YMR189W', 'YMR205C', 'YMR207C', 'YMR250W', 'YMR261C', 'YMR285C', 'YMR289W', 'YMR293C', 'YMR296C', 'YNL037C', 'YNL104C', 'YNL106C', 'YNL117W', 'YNL168C', 'YNL256W', 'YNL333W', 'YNR008W', 'YNR015W', 'YNR016C', 'YNR033W', 'YNR058W', 'YNR071C', 'YNR073C', 'YOL010W', 'YOL020W', 'YOL042W', 'YOL043C', 'YOL056W', 'YOL065C', 'YOL066C', 'YOL126C', 'YOL136C', 'YOL140W', 'YOL157C', 'YOR033C', 'YOR054C', 'YOR108W', 'YOR109W', 'YOR136W', 'YOR142W', 'YOR180C', 'YOR184W', 'YOR196C', 'YOR283W', 'YOR347C', 'YPL086C', 'YPL171C', 'YPL207W', 'YPL214C', 'YPL231W', 'YPL262W', 'YPR006C', 'YPR026W', 'YPR035W', 'YPR060C', 'YPR062W', 'YPR069C', 'YPR074C', 'YPR167C', 'YPR176C', 'YPR184W']",,"['CYS3', 'PDX3', 'CSG2', 'TKL2', 'PDB1', 'SHM1', 'CIT2', 'ELO2', 'PHO87', 'THR4', 'COX9', 'HEM3', 'HEM12', 'TPS2', 'ALT2', 'COQ4', 'ADK1', 'ATP5', 'TRR1', 'TRP4', 'CEM1', 'ALD5', 'ILV1', 'AVT6', 'PDA1', 'GNA1', 'BNA6', 'ARO2', 'ADH4', 'PDC6', 'SER2', 'PFK1', 'FOL2', 'QCR10', 'LEU5', 'NCP1', 'COX6', 'QNS1', 'DCD1', 'GND1', 'THS1', 'HXT9', 'UTR1', 'MET5', 'HOM6', 'BAT2', 'HXT16', 'MPH3', 'UGP1', 'OAR1', 'SPE1', 'GAP1', 'COQ9', 'BNA5', 'ATP14', 'NMA1', 'ADE13', 'PHO84', 'AAC1', 'ADH3', 'PGM2', 'ALD2', 'ERG2', 'ERG12', 'PET8', 'IDH1', 'LAT1', 'GPD2', 'AUS1', 'CAT5', 'IDH2', 'DCI1', 'MET7', 'FDH1', 'PPT2', 'ATH1', 'DIA4', 'ACO2', 'PMU1']","['CoA-synthesizing protein complex', 'alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)', 'cytoplasm', 'cytosol', 'mitochondrion', 'peroxisomal matrix', 'phosphopantothenoylcysteine decarboxylase complex']","['GMP biosynthetic process', 'L-kynurenine catabolic process', 'L-methionine salvage from methylthioadenosine', 'L-phenylalanine catabolic process', 'NAD biosynthetic process', 'amino acid catabolic process via Ehrlich pathway', 'aromatic amino acid family biosynthetic process', 'aromatic amino acid family catabolic process to alcohol via Ehrlich pathway', 'base-excision repair', 'base-excision repair, AP site formation', 'biosynthetic process', 'branched-chain amino acid biosynthetic process', 'branched-chain amino acid catabolic process', 'carbohydrate metabolic process', 'carbohydrate phosphorylation', 'carboxylic acid metabolic process', 'cellular amino acid biosynthetic process', 'cellular amino acid metabolic process', 'coenzyme A biosynthetic process', 'dephosphorylation', 'disaccharide catabolic process', 'folic acid biosynthetic process', 'fructose 1,6-bisphosphate metabolic process', 'fructose 2,6-bisphosphate metabolic process', 'fructose metabolic process', 'gluconeogenesis', 'glycolytic process', 'glyoxylate cycle', 'histidine biosynthetic process', 'isoleucine biosynthetic process', 'leucine biosynthetic process', 'lipid metabolic process', 'long-chain fatty acid biosynthetic process', 'malate metabolic process', 'maltose catabolic process', 'maltose metabolic process', 'metabolic process', 'methionine biosynthetic process', 'nitrogen compound metabolic process', 'nucleic acid phosphodiester bond hydrolysis', 'oligosaccharide catabolic process', 'pentose-phosphate shunt', 'phosphatidylinositol dephosphorylation', 'purine nucleotide biosynthetic process', 'pyridine nucleotide biosynthetic process', 'pyruvate metabolic process', 'sucrose catabolic process', 'sulfur compound metabolic process', 'tRNA dihydrouridine synthesis', 'tRNA modification', 'tRNA processing', 'tetrahydrofolate biosynthetic process', 'tetrahydrofolate interconversion', 'transsulfuration', 'trehalose biosynthetic process', 'trehalose metabolism in response to stress', 'tricarboxylic acid cycle', 'tryptophan biosynthetic process', 'tryptophan catabolic process', 'tryptophan metabolic process', 'valine biosynthetic process']","['TCA cycle, aerobic respiration', 'acetoin biosynthesis II', 'arginine biosynthesis', 'aspartate biosynthesis', 'chitosan biosynthesis', 'chorismate biosynthesis', 'de novo NAD biosynthesis', 'de novo biosynthesis of purine nucleotides', 'fatty acid biosynthesis (concise)', 'fatty acid biosynthesis, initial steps', 'folate biosynthesis', 'folate biosynthesis II', 'folate interconversions', 'folate polyglutamylation', 'folate transformations', 'fructose degradation', 'gluconeogenesis', 'glycine biosynthesis from serine', 'glycolysis', 'glyoxylate cycle', 'histidine biosynthesis', 'homocysteine and cysteine interconversion', 'isoleucine biosynthesis', 'isoleucine degradation', 'leucine biosynthesis', 'leucine degradation', 'methionine salvage pathway', 'myristate biosynthesis', 'non-oxidative branch of the pentose phosphate pathway', 'p-aminobenzoate biosynthesis', 'palmitate biosynthesis', 'pantothenate and coenzyme A biosynthesis', 'phenylalanine biosynthesis', 'phenylalanine degradation', 'phosphatidylinositol phosphate biosynthesis', 'salvage pathways of pyrimidine ribonucleotides', 'serine biosynthesis from glyoxylate', 'stearate biosynthesis', 'sulfate assimilation pathway', 'superpathway of glucose fermentation', 'trehalose biosynthesis', 'tryptophan biosynthesis', 'tryptophan degradation', 'tyrosine biosynthesis', 'tyrosine degradation', 'valine biosynthesis', 'valine degradation']","['auxotrophy', 'chemical compound accumulation: absent', 'chemical compound accumulation: decreased', 'chemical compound excretion: decreased', 'utilization of carbon source: absent', 'utilization of nitrogen source: absent']","['RPN11', 'RPN1', 'RPN10', 'SSM4', 'ESS1', 'ENT3', 'PRP40', 'SSB2', 'URN1']","['RTG3', 'TUP1', 'MED2', 'UME6', 'MET32', 'SPT3', 'GCN4', 'GLN3', 'BUR6', 'HSF1', 'CST6', 'XBP1', 'SIP4', 'MSN4', 'BAS1', 'SFP1', 'MSN2', 'CAT8', 'MET4', 'GCR2', 'SIN4', 'CSE2', 'SPT20']","['2-aminoadipate transaminase activity', '4 iron, 4 sulfur cluster binding', ""5'-flap endonuclease activity"", '6-phosphofructo-2-kinase activity', 'ATP binding', 'D-lactate dehydrogenase (cytochrome) activity', 'FMN binding', 'IMP dehydrogenase activity', 'L-malate dehydrogenase activity', 'aldose 1-epimerase activity', 'alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity', 'alpha-amylase activity', 'alpha-glucosidase activity', 'amine-lyase activity', 'branched-chain-2-oxoacid decarboxylase activity', 'carbohydrate binding', 'carbon-carbon lyase activity', 'carbon-sulfur lyase activity', 'carboxy-lyase activity', 'class I DNA-(apurinic or apyrimidinic site) endonuclease activity', 'cystathionine beta-lyase activity', 'cystathionine gamma-synthase activity', 'cystathionine gamma-synthase activity (acts on O-phosphohomoserine)', 'cysteine-S-conjugate beta-lyase activity', 'exonuclease activity', 'flavin adenine dinucleotide binding', 'fructose-2,6-bisphosphate 2-phosphatase activity', 'glucan 1,4-alpha-maltotriohydrolase activity', 'hydrolase activity', 'hydrolase activity, acting on glycosyl bonds', 'identical protein binding', 'indolepyruvate decarboxylase activity', 'intramolecular transferase activity, phosphotransferases', 'iron-sulfur cluster binding', 'isomerase activity', 'ligase activity', 'lyase activity', 'magnesium ion binding', 'malate dehydrogenase activity', 'maltose alpha-glucosidase activity', 'mannose-ethanolamine phosphotransferase activity', 'metal ion binding', 'nicotinamide-nucleotide adenylyltransferase activity', 'nuclease activity', 'nucleotide binding', 'oligo-1,6-glucosidase activity', 'oxidoreductase activity', 'oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'phenylpyruvate decarboxylase activity', 'phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity', 'phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity', 'phosphoglycerate mutase activity', 'phosphopantothenoylcysteine decarboxylase activity', 'poly(A)-specific ribonuclease activity', 'pyridoxal phosphate binding', 'pyruvate decarboxylase activity', 'sucrose alpha-glucosidase activity', 'tRNA dihydrouridine synthase activity', 'thiamine pyrophosphate binding', 'transaminase activity', 'transferase activity', 'transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer', 'transferase activity, transferring alkyl or aryl (other than methyl) groups', 'transferase activity, transferring pentosyl groups', 'trehalose-phosphatase activity']","['lactate/malate dehydrogenase, NAD binding domain', 'Alpha amylase, catalytic domain', 'Aminotransferase class I and II', 'Aminotransferase class-III', 'Thiamine pyrophosphate enzyme, central domain', 'Lyase', 'Aminotransferase class-V', 'Biotin carboxylase, N-terminal domain', 'Histidine phosphatase superfamily (branch 1)', 'Biotin-requiring enzyme', 'Cytidine and deoxycytidylate deaminase zinc-binding region', 'Prenyltransferase and squalene oxidase repeat', 'HMGL-like', 'HhH-GPD superfamily base excision DNA repair protein', 'Glycosyltransferase family 20', 'Cys/Met metabolism PLP-dependent enzyme', 'Amino-transferase class IV', 'Dihydrouridine synthase (Dus)', 'Aldose 1-epimerase', 'NAD dependent epimerase/dehydratase family', 'Cytidylyltransferase-like', '6-phosphofructo-2-kinase', 'Type I phosphodiesterase / nucleotide pyrophosphatase', 'SOR/SNZ family', 'Trehalose-phosphatase', 'Flavoprotein', 'Thiamine pyrophosphate enzyme, C-terminal TPP binding domain', 'Thiamine pyrophosphate enzyme, N-terminal TPP binding domain', 'Transketolase, C-terminal domain', 'Biotin carboxylase C-terminal domain', 'Carbamoyl-phosphate synthase L chain, ATP binding domain', 'lactate/malate dehydrogenase, alpha/beta C-terminal domain', 'FAD linked oxidases, C-terminal domain', 'Endonuclease/Exonuclease/phosphatase family', 'Radical SAM superfamily']"
cation binding,6,"['YBL056W', 'YBR125C', 'YDL006W', 'YEL011W', 'YER089C', 'YOR090C']",,"['PPH3', 'PTC2', 'PTC7', 'SLN1', 'PTC5', 'PTP2', 'RRD2']",,"['peptidyl-threonine dephosphorylation', 'protein dephosphorylation']",,,,,"['MAP kinase threonine phosphatase activity', 'hydrolase activity', 'phosphatase activity', 'phosphoprotein phosphatase activity', 'protein serine phosphatase activity', 'protein serine/threonine phosphatase activity', 'protein threonine phosphatase activity']",['Protein phosphatase 2C']
cation transmembrane transporter activity,13,"['YDL128W', 'YDL206W', 'YDR205W', 'YIL121W', 'YJL094C', 'YJL129C', 'YJR106W', 'YKR050W', 'YMR177W', 'YMR243C', 'YNL321W', 'YOR316C', 'YPL224C']",,['NHA1'],"['fungal-type vacuole membrane', 'integral component of membrane', 'membrane', 'mitochondrial membrane']","['anion transmembrane transport', 'cation transmembrane transport', 'cation transport', 'cellular calcium ion homeostasis', 'cellular potassium ion homeostasis', 'cellular zinc ion homeostasis', 'ion transport', 'potassium ion import across plasma membrane', 'potassium ion transmembrane transport', 'potassium ion transport', 'transmembrane transport', 'zinc II ion transmembrane transport', 'zinc II ion transport']",,,,,"['calcium:proton antiporter activity', 'high-affinity potassium ion transmembrane transporter activity', 'potassium:proton antiporter activity', 'zinc ion transmembrane transporter activity']","['Cation efflux family', 'Sodium/calcium exchanger protein', 'Cation transport protein']"
cation-transporting ATPase activity,8,"['YBR295W', 'YDR038C', 'YDR039C', 'YDR040C', 'YDR270W', 'YEL031W', 'YGL006W', 'YOR291W']",,,['integral component of membrane'],"['calcium ion transmembrane transport', 'cation transmembrane transport', 'cation transport', 'cellular calcium ion homeostasis', 'ion transmembrane transport', 'ion transport', 'sodium ion transmembrane transport', 'sodium ion transport', 'transmembrane transport']",,,,,"['ATP binding', 'ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism', 'calcium-transporting ATPase activity', 'copper-transporting ATPase activity', 'nucleotide binding', 'potassium-transporting ATPase activity', 'sodium-exporting ATPase activity, phosphorylative mechanism']","['E1-E2 ATPase', 'Cation transporting ATPase, C-terminus', 'Cation transporter/ATPase, N-terminus', 'haloacid dehalogenase-like hydrolase', 'Cation transport ATPase (P-type)']"
cation:cation antiporter activity,1,['YLR138W'],,,,,,,,,,
cation:chloride symporter activity,1,['YBR235W'],,,,,,,,,,
cell adhesion molecule binding,3,"['YGL032C', 'YJR004C', 'YNR044W']",,['FIG2'],['fungal-type cell wall'],"['agglutination involved in conjugation with cellular fusion', 'cell adhesion']",,,,,,
cellulase activity,1,['YNL327W'],,,,,,,,,,
centromeric DNA binding,10,"['YDR374W-A', 'YFR046C', 'YGR140W', 'YIL131C', 'YJR060W', 'YKL049C', 'YKL089W', 'YMR001C', 'YMR168C', 'YOR304W']",,"['CNN1', 'AFT1', 'CBF2', 'NDC80', 'MIF2', 'CTF3', 'HHF2', 'BUB3']","['CBF3 complex', 'chromosome', 'chromosome, centromeric region', 'condensed chromosome, centromeric region', 'kinetochore', 'nucleus']",['chromosome segregation'],,['chromosome segregation: abnormal'],"['CHL4', 'MCM21', 'CBF2', 'OKP1', 'DSN1', 'CBF1', 'MIF2', 'CTF13', 'CTF19', 'IPL1']",,"['DNA binding', 'macromolecular complex binding']",
channel activity,4,"['YFL054C', 'YLL043W', 'YLL053C', 'YPR192W']",,,,"['glycerol transport', 'transmembrane transport', 'water transport']",,,,,"['glycerol channel activity', 'water channel activity']",['Major intrinsic protein']
channel regulator activity,2,"['YGR097W', 'YPR115W']",,,,['positive regulation of glycerol transport'],,,,,,
chaperone binding,26,"['YBR044C', 'YCR060W', 'YDR168W', 'YDR214W', 'YDR258C', 'YDR385W', 'YGL018C', 'YGR125W', 'YGR142W', 'YIL016W', 'YIL022W', 'YIR004W', 'YJL073W', 'YKL117W', 'YLL026W', 'YLR200W', 'YLR259C', 'YMR214W', 'YNL007C', 'YNL281W', 'YNL310C', 'YOR020C', 'YOR057W', 'YOR133W', 'YOR232W', 'YPR158W']",,"['HSP42', 'STI1', 'SGT1']",['mitochondrial matrix'],"['apoptotic mitochondrial changes', 'cellular heat acclimation', 'cellular response to heat', 'chaperone mediated protein folding requiring cofactor', 'chaperone-mediated protein complex assembly', 'mitochondrial unfolded protein response', 'protein folding', 'protein folding in endoplasmic reticulum', 'protein import into mitochondrial intermembrane space', 'protein refolding', 'protein stabilization']",,"['prion loss: decreased', 'prion loss: increased']",['HSP82'],"['SPT7', 'SPT6']","['Hsp90 protein binding', 'unfolded protein binding']",['DnaJ domain']
chitin binding,5,"['YDR371W', 'YGR282C', 'YLR286C', 'YLR307W', 'YLR308W']",,,['ascospore-type prospore'],"['carbohydrate metabolic process', 'cell wall organization', 'chitin catabolic process', 'polysaccharide catabolic process']",['chitosan biosynthesis'],,,,"['chitin deacetylase activity', 'chitinase activity', 'hydrolase activity', 'hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds', 'hydrolase activity, acting on glycosyl bonds', 'hydrolase activity, hydrolyzing O-glycosyl compounds']","['Glycosyl hydrolases family 18', 'Polysaccharide deacetylase']"
chitin deacetylase activity,2,"['YLR307W', 'YLR308W']",,,['ascospore-type prospore'],"['chitin catabolic process', 'polysaccharide catabolic process']",['chitosan biosynthesis'],,,,"['chitin binding', 'hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds']",['Polysaccharide deacetylase']
chitin synthase activity,3,"['YBR023C', 'YBR038W', 'YNL192W']",,,"['cell septum', 'chitosome']","['cell wall organization', 'chitin biosynthetic process']",['chitin biosynthesis'],,,,"['transferase activity, transferring glycosyl groups', 'transferase activity, transferring hexosyl groups']","['Chitin synthase', 'Chitin synthase N-terminal']"
chitinase activity,2,"['YDR371W', 'YLR286C']",,,,"['chitin catabolic process', 'polysaccharide catabolic process']",,,,,"['chitin binding', 'hydrolase activity, hydrolyzing O-glycosyl compounds']",['Glycosyl hydrolases family 18']
chitobiosyldiphosphodolichol beta-mannosyltransferase activity,1,['YBR110W'],,,,,,,,,,
chloride channel activity,2,"['YBR086C', 'YJR040W']",,,,,,,,,,
cholesterol alpha-glucosyltransferase activity,1,['YLR189C'],,,,,,,,,,
cholesterol binding,1,['YJL079C'],,,,,,,,,,
choline kinase activity,2,"['YDR147W', 'YLR133W']",,,,"['CDP-choline pathway', 'phosphatidylcholine biosynthetic process', 'phosphatidylethanolamine biosynthetic process']",,,,,"['ethanolamine kinase activity', 'phosphotransferase activity, alcohol group as acceptor']","['Choline/ethanolamine kinase', 'Choline kinase N terminus']"
choline transmembrane transporter activity,1,['YGL077C'],,,,,,,,,,
choline-phosphate cytidylyltransferase activity,1,['YGR202C'],,,,,,,,,,
chorismate mutase activity,2,"['YNL316C', 'YPR060C']",,,,"['L-phenylalanine biosynthetic process', 'aromatic amino acid family biosynthetic process']",['phenylalanine biosynthesis'],,,,,
chorismate synthase activity,1,['YGL148W'],,,,,,,,,,
chromatin DNA binding,7,"['YBR112C', 'YDR121W', 'YER164W', 'YJL184W', 'YKR038C', 'YKR095W-A', 'YLR263W']",,,"['EKC/KEOPS complex', 'chromatin']","['tRNA threonylcarbamoyladenosine metabolic process', 'telomere maintenance via recombination']",,,"['PCC1', 'CGI121']",,,
